Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
1025	Serrinha	C100231-A	Va Lo	{+0}	(A11+2)	[1259]	B	-	-	114	6	Im	M5 V
1026	Guelma	D100200-6	Va Lo	{-3}	(711+0)	[1145]	B	S	-	616	7	Im	w D
1028	Stromboli	C510533-6	Ni	{-2}	(844+3)	[4311]	B	S	-	104	7	Im	w D
1038	Zaltbommel	D000553-9	As Va Ni	{-2}	(F41+5)	[6368]	B	-	-	613	6	Im	M5 V
1102	Shaozhou	C6C9477-A	Fl Ni	{+0}	(933-2)	[1499]	B	S	-	603	8	Im	K0 V
1104	Buenaventura	E100330-8	Va Lo	{-3}	(E21+0)	[2149]	B	-	-	204	6	Im	M5 V
1105	Oshakan	B200787-B	Va Na Pi	{+2}	(E69+0)	[795B]	DB	-	-	414	7	Im	K5 V
1109	Valdagno	C10079E-7	Va Na Pi	{-1}	(B62+0)	[B667]	DB	-	-	205	6	Im	M5 V
1111	Riebini	CAB6512-7	Fl Ni	{-2}	(841-3)	[131A]	B	-	-	403	7	Im	K5 V
1118	Houston	CCB3568-6	Fl Ni Px	{-2}	(543-1)	[7387]	B	-	-	803	7	Im	K5 V
1123	Myrahalpin	E200000-0	Va Ba	{-3}	(400+5)	[0000]	B	-	-	016	11	Im	M5 V M5 V
1127	Vaugneray	B200879-8	Va Ph Na Pi	{+0}	(C74+2)	[8877]	eDB	N	-	805	6	Im	M5 V
1202	Kevlin	C200457-8	Va Ni	{-2}	(D33-2)	[3299]	B	-	-	214	7	Im	M0 V
1205	Wulong	E696420-4	Ni Pa	{-3}	(731+2)	[5154]	cB	-	-	104	10	Im	M0 V M5 V
1206	Shoko	C762636-8	Ni Ri	{-1}	(D55+4)	[255C]	CB	-	-	604	9	Im	F5 V
1207	Raimonda	B7A29DC-6	Fl He Hi In	{+2}	(588+2)	[AB25]	EB	N	-	702	8	Im	F5 V
1210	Pembroke	A0008BF-C	As Va Ph Na Pi	{+2}	(D79+2)	[CA3E]	eDB	-	A	713	8	Im	K5 V
1211	Tamtar	C5A0661-8	He Ni	{-2}	(B50-2)	[845A]	B	-	-	405	6	Im	M5 V
1213	Amesbury	D200465-7	Va Ni	{-3}	(430-2)	[614B]	B	S	-	604	7	Im	M0 V
1214	Horimasato	A2009AD-C	Va Hi Na In	{+4}	(B8E-2)	[8D4C]	fEB	-	-	204	7	Im	M0 V
1220	Carroll	A20089B-B	Va Ph Na Pi	{+2}	(F77+0)	[9A4A]	eDB	N	-	214	6	Im	M5 V
1222	Lamsabih	E200111-5	Va Lo	{-3}	(A01+4)	[3167]	B	-	-	403	6	Im	M5 V
1223	Franklin	B200613-A	Va Ni Na	{+2}	(A56+1)	[983B]	B	NS	-	303	6	Im	M5 V
1224	Qiryat Bialik	E6A0105-9	He Lo	{-2}	(901+1)	[3157]	B	-	-	402	9	Im	F0 V
1227	Tumut	C200454-B	Va Ni	{+0}	(832-2)	[146B]	B	S	-	404	7	Im	M0 V
1233	Durham	B200869-A	Va Ph Na Pi	{+2}	(F7B-1)	[AA5A]	eDB	-	-	708	12	Im	M5 V M5 V
1234	Itagimirim	D200364-7	Va Lo	{-3}	(621+4)	[3147]	B	-	-	214	8	Im	G5 V
1235	Yozan	B200632-A	Va Ni Na	{+1}	(C52+1)	[8719]	B	-	-	403	8	Im	K5 V
1236	Schipluiden	B200856-9	Va Ph Na Pi	{+1}	(F77-1)	[B969]	eDB	S	-	114	7	Im	M0 V
1237	Puerto Villamil	C200552-9	Va Ni	{-1}	(A43+0)	[3476]	B	-	-	904	6	Im	M5 V
1238	Colinas	A000679-E	As Va Ni Na	{+1}	(B56+0)	[675F]	B	-	-	513	7	Im	K5 V
1240	Chibasai	D6A2573-3	Fl He Ni	{-3}	(C40-3)	[6281]	B	S	-	523	8	Im	G0 V
1304	Forst	C9A0345-7	He Lo	{-2}	(421+1)	[3186]	B	-	-	402	8	Im	G0 V
1305	Aviles	D8A2447-5	Fl He Ni Px	{-3}	(732+1)	[6125]	B	S	-	713	8	Im	K0 V
1307	Vitim	C200540-7	Va Ni	{-2}	(643+0)	[6357]	B	S	-	506	8	Im	M0 V
1310	Chitral	E300364-8	Va Lo	{-3}	(821+1)	[315A]	B	-	-	603	8	Im	G0 V
1313	Columbiana	C865489-6	Ga Ni Pa	{-2}	(A31+3)	[1227]	cB	S	-	412	9	Im	F0 V
1314	Jin	C410242-8	Lo	{-2}	(C11+0)	[4127]	B	-	-	507	11	Im	M0 V w D
1317	Komoda	C200788-9	Va Na Pi	{+0}	(F67-4)	[2748]	DB	-	-	306	10	Im	M5 V M5 V
1319	Sekigahara	C5A0342-5	He Lo	{-2}	(521+1)	[1128]	B	-	-	206	7	Im	w D
1322	Lumme	CBB6644-8	Fl Ni	{-2}	(B52-1)	[544B]	B	-	-	504	7	Im	M0 V
1324	Mastema	D7A8467-6	Fl Ni	{-3}	(930+3)	[4169]	B	S	-	112	8	Im	G0 V
1326	Schwaig	B20089D-B	Va Ph Na Pi	{+2}	(C7B+0)	[7A47]	eDB	-	-	207	7	Im	w D
1328	Marcello	B6B5730-8	Fl	{+0}	(A64+0)	[978C]	B	S	-	413	8	Im	G0 V
1330	San Giovanni Ilari	A2009CE-E	Va Hi Na In	{+4}	(E8A+0)	[CD3A]	fEB	-	A	704	7	Im	M0 V
1331	Covedale	C200520-7	Va Ni	{-2}	(640-1)	[6363]	B	S	-	615	9	Im	M0 V M5 V
1333	Catonsville	B200744-D	Va Na Pi	{+2}	(F6A+1)	[995D]	DB	-	-	105	8	Im	K0 V
1334	Suooshima	CCB1675-A	Fl He Ni	{+0}	(752-3)	[5649]	B	-	-	202	9	Im	F0 V
1337	Tichigan	C200532-7	Va Ni	{-2}	(441-4)	[8368]	B	-	-	306	7	Im	M5 V
1403	Madzlandon	BCB8965-9	Fl Hi In	{+3}	(68B+2)	[9C16]	EB	S	-	902	8	Im	G0 V
1405	Pompeja	C200699-A	Va Ni Na	{+0}	(C53+2)	[3669]	B	S	-	304	7	Im	M0 V
1406	Clorinde	A200958-E	Va Hi Na In	{+4}	(F8B+3)	[8D4F]	fEB	N	-	715	8	Im	M0 V
1409	Ban Bang Sai	A300866-D	Va Ph Na Pi	{+2}	(C7C-1)	[9A6F]	eDB	N	-	403	8	Im	G5 V
1410	Maruyama	CAB1877-9	Fl He Ph	{+0}	(B75-5)	[9877]	eB	-	-	111	9	Im	F0 V
1411	Villers-le-Bouille	A774677-8	Ni Ag	{+0}	(C56-1)	[9637]	CB	N	-	103	8	Im	K0 V
1412	Antioch	B200646-9	Va Ni Na	{+0}	(D54+2)	[3658]	B	N	-	905	7	Im	K5 V
1413	Pueblo Nuevo	C770101-A	De He Lo	{+0}	(601+0)	[5166]	B	-	-	204	8	Im	G5 V
1417	Watertown	BBB6666-8	Fl Ni	{-1}	(A51+0)	[6527]	B	-	-	312	8	Im	G0 V
1420	Fengxiang	C200549-6	Va Ni	{-2}	(540+0)	[5354]	B	S	-	106	7	Im	w D
1421	Danville	A200754-F	Va Na Pi	{+2}	(F6A-1)	[995F]	DB	-	-	707	7	Im	w D
1422	Dushanove	B2007AF-9	Va Na Pi	{+1}	(B6A+1)	[486B]	DB	-	-	304	6	Im	M5 V
1425	Shrock	A000786-B	As Va Na Pi	{+2}	(F69+3)	[793F]	DB	-	-	926	11	Im	M5 V M5 V
1430	Iraci	C8B6563-5	Fl Ni	{-2}	(A43+0)	[6395]	B	-	-	603	7	Im	M0 V
1431	Aenona	C200666-7	Va Ni Na	{-2}	(B54+2)	[4488]	B	S	-	305	7	Im	M5 V
1433	Tulipa	B8A2766-B	Fl He	{+2}	(F66+4)	[6919]	B	-	-	503	8	Im	G5 V
1434	Vore	C200100-B	Va Lo	{+0}	(D01-4)	[4157]	B	-	-	304	6	Im	M5 V
1438	Lohrmann	E955531-7	Ni Ag	{-2}	(742+4)	[333C]	CB	-	-	503	9	Im	G0 V
1501	Dunphy	C678520-6	Ni Ag	{-1}	(642-1)	[3497]	CB	S	-	404	8	Im	K0 V
1504	Warstein	C410330-7	Lo	{-2}	(321+3)	[4174]	B	-	-	206	12	Im	M0 V M5 V w D
1506	Fayetteville	C200312-A	Va Lo	{+0}	(F21+0)	[1366]	B	-	-	108	8	Im	w D
1507	Lidaksum	C200487-7	Va Ni	{-2}	(630+0)	[1246]	B	S	-	805	7	Im	M5 V
1509	Raunheim	A200852-D	Va Ph Na Pi	{+2}	(B77-2)	[6A5D]	eDB	-	-	204	7	Im	M0 V
1510	Ada	CDB6310-8	Fl Lo	{-2}	(B21-4)	[114A]	B	S	-	404	7	Im	M0 V
1517	Mendota Heights	C300356-8	Va Lo	{-2}	(A21-3)	[617B]	B	S	-	404	6	Im	M5 V
1522	Tete	C200552-C	Va Ni	{+0}	(A42+0)	[6597]	B	-	-	504	7	Im	M0 V
1523	Umuahia	B200663-B	Va Ni Na	{+1}	(F55+3)	[777C]	B	S	-	205	7	Im	M0 V
1524	Kanamisho	C200000-0	Va Ba	{-2}	(700-3)	[0000]	B	S	-	004	6	Im	M5 V
1527	Takatahiro	C991421-8	He Ni	{-2}	(F30-2)	[7283]	B	S	-	413	9	Im	F0 V
1528	Curly	E6A5000-0	Fl Ba	{-3}	(800+1)	[0000]	B	-	-	003	8	Im	K0 V
1539	Kath	C9A0483-9	He Ni	{-1}	(C32+0)	[1368]	B	S	-	103	9	Im	A5 V
1540	Sladkovicovo	C200344-A	Va Lo	{+0}	(C21-2)	[136D]	B	S	-	708	11	Im	M5 V M5 V
1608	Frasin	D699356-9	Lo	{-2}	(821-2)	[516A]	B	-	-	704	7	Im	M0 V
1621	Eaubonne	C200375-B	Va Lo	{+0}	(B21+0)	[736E]	B	-	-	904	6	Im	M5 V
1622	Vienna	CAB4767-A	Fl	{+1}	(86B+0)	[A87F]	B	-	-	412	8	Im	K0 V
1627	Toprakkale	C7B0445-9	He Ni	{-1}	(E35+1)	[338A]	B	S	-	315	8	Im	w D
1628	Ilizarov	C20096A-9	Va Hi Na In	{+2}	(F85+5)	[5B28]	EB	S	-	805	6	Im	M5 V
1631	San Andres Itzapa	C8707BE-4	De He Pi	{-1}	(86A+3)	[5644]	DB	-	-	911	9	Im	F0 V
1634	Old Greenwich	A6A38AD-D	Fl Ph	{+3}	(77E+3)	[AB2C]	eB	NS	-	803	7	Im	K5 V
1636	Al Kut	CEB3564-A	Fl Ni	{+0}	(D41-2)	[2547]	B	S	-	403	8	Im	K0 V
1637	Dolby	C200337-8	Va Lo	{-2}	(C21+2)	[7149]	B	-	-	804	8	Im	G0 V
1638	Rosas	A87888B-B	Ph Pa Pi	{+2}	(B7C+0)	[AA27]	eDcB	-	-	104	9	Im	F5 V
1704	Klacka	A200677-D	Va Ni Na	{+1}	(F54-3)	[778C]	B	-	-	909	11	Im	w D w D
1705	Sofiivka	E9B4220-3	Fl Lo	{-3}	(811-1)	[7121]	B	-	-	703	6	Im	M5 V
1710	Pella	B20078D-A	Va Na Pi	{+3}	(86A-3)	[8A46]	DB	NS	-	805	8	Im	M0 V
1715	Antis	C6B0300-6	He Lo	{-2}	(621+2)	[4149]	B	-	-	803	9	Im	A5 V
1716	Nalbach	D5A0442-8	He Ni	{-3}	(932+2)	[1157]	B	S	-	406	7	Im	M5 V
1717	Gersthofen	A20088B-A	Va Ph Na Pi	{+2}	(B7C-5)	[5A59]	eDB	N	-	704	7	Im	M0 V
1720	Villeneuve-la-Gare	C74A121-A	Wa Lo	{+0}	(E01-1)	[1177]	B	-	-	813	11	Im	K0 V K5 V
1723	Zemrane	C4A3200-7	Fl Lo	{-2}	(711+1)	[413B]	B	-	-	206	7	Im	w D
1724	Fushe Kosove	C7DA316-8	Lo	{-2}	(921-1)	[1164]	B	S	-	402	11	Im	K0 V K5 V
1725	Daigo	A200642-D	Va Ni Na	{+1}	(F54+0)	[B74C]	B	-	-	608	12	Im	M0 V M5 V
1727	Rada 	C8A6245-A	Fl Lo	{+0}	(A11-3)	[528D]	B	-	-	805	12	Im	K0 V K5 V
1729	Francisco I. Mader	C200586-8	Va Ni	{-2}	(B40+0)	[2344]	B	S	-	804	6	Im	M5 V
1733	Gardere	C100332-C	Va Lo	{+0}	(F21-1)	[536E]	B	S	-	506	7	Im	w D
1734	Menichelli	D200445-5	Va Ni	{-3}	(830+2)	[5165]	B	S	-	505	6	Im	M5 V
1737	Merrimack	B667645-6	Ga Ni Ag Ri	{+1}	(955-5)	[6726]	CB	N	-	712	9	Im	F0 V
1801	Robinwood	A200799-A	Va Na Pi	{+2}	(969+2)	[A999]	DB	-	-	804	6	Im	M5 V
1805	Emiliano Zapata	C000662-A	As Va Ni Na	{+0}	(F54+0)	[665A]	B	-	-	314	7	Im	M5 V
1807	Dantalion	E200133-5	Va Lo	{-3}	(601-3)	[3164]	B	-	-	603	7	Im	M0 V
1811	Morata	C6A2202-6	Fl He Lo	{-2}	(311-1)	[2147]	B	-	-	903	8	Im	K0 V
1812	Bohemia	C7A4542-8	Fl Ni	{-2}	(D43+2)	[A348]	B	-	-	503	8	Im	K0 V
1814	Sherman	BAB4767-9	Fl	{+2}	(66B+2)	[793A]	B	NS	-	713	9	Im	A5 V
1820	Terre Haute	CCB0444-6	He Ni	{-2}	(933+0)	[3216]	B	-	-	502	9	Im	A5 V
1821	Syoyou	D200113-9	Va Lo	{-2}	(A01-5)	[1189]	B	S	-	304	8	Im	K0 V
1822	El Obeid	C5B1301-8	Fl He Lo	{-2}	(A21+1)	[3114]	B	S	-	703	10	Im	A0 V
1825	Cajica	B200896-B	Va Ph Na Pi	{+2}	(77B+2)	[BA8A]	eDB	S	-	813	7	Im	K5 V
1826	Jiuzhou	D200200-5	Va Lo	{-3}	(A11+2)	[6153]	B	S	-	507	8	Im	w D
