Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0322	Marlborough	C200588-9	Va Ni	{-1}	(E41+0)	[7438]	B	-	-	606	6	Im	M5 V
0323	Oliva de la Fronte	C9A2586-A	Fl He Ni Px	{+0}	(841-1)	[459C]	B	-	-	402	9	Im	A5 V
0326	Ugento	A5A07CF-A	He	{+2}	(C6A+3)	[8967]	B	-	A	305	8	Im	K5 V
0327	Mossendjo	C200442-B	Va Ni	{+0}	(F35+1)	[444C]	B	S	-	614	7	Im	M0 V
0330	Dunbar	B2007AB-C	Va Na Pi	{+2}	(A6A+1)	[B92C]	DB	-	-	404	6	Im	M5 V
0331	Mariotti	C200322-7	Va Lo	{-2}	(721+0)	[1169]	B	-	-	406	7	Im	M5 V
0333	Juterbog	C200535-7	Va Ni	{-2}	(840+2)	[6379]	B	S	-	804	7	Im	M0 V
0338	Poppi	C200430-B	Va Ni	{+0}	(A35-1)	[543C]	B	S	-	506	11	Im	M5 V M5 V
0339	Hunan	B7B4676-8	Fl Ni Px	{-1}	(D51+3)	[1599]	B	S	-	523	8	Im	G0 V
0404	Kaysville	B2009A7-A	Va Hi Na In	{+4}	(G8E+0)	[9D7A]	fEB	-	-	206	10	Im	M0 V M5 V
0409	Vorchdorf	A200972-G	Va Hi Na In	{+5}	(08D+0)	[8E3F]	fEB	N	-	306	7	Im	M5 V
0414	Belleville	D7A0342-6	He Lo	{-3}	(721+1)	[2112]	B	S	-	402	8	Im	G0 V
0415	Dobryanka	A20098A-G	Va Hi Na In	{+5}	(08F-3)	[6E6F]	fEB	N	-	805	8	Im	M0 V
0419	Hus	A1007A8-D	Va Na Pi	{+2}	(967+5)	[693D]	DB	-	-	506	7	Im	M5 V
0420	Plymouth	CCB257A-5	Fl He Ni	{-2}	(C43+3)	[1318]	B	-	-	603	8	Im	K5 V
0421	Minamishiro	B200678-A	Va Ni Na	{+1}	(956+0)	[778E]	B	-	-	205	8	Im	G0 V
0423	Seldor	C200642-6	Va Ni Na	{-2}	(650-3)	[6469]	B	S	-	215	8	Im	M0 V
0425	Zakhu	E200377-5	Va Lo	{-3}	(521+3)	[4161]	B	-	-	504	6	Im	M5 V
0437	Mar de Ajo	BAB787C-B	Fl Ph	{+2}	(775+0)	[9A5F]	eB	N	-	504	8	Im	K0 V
0439	Pikine	B7A07A9-C	He	{+2}	(F6B-1)	[69AC]	B	-	-	513	8	Im	G0 V
0504	Leibniz	C9A4454-A	Fl Ni	{+0}	(735+3)	[64A7]	B	S	-	700	4	Im	F5 V M5 V
0505	Oristano	C200156-C	Va Lo	{+0}	(C01-1)	[6139]	B	S	-	415	8	Im	M0 V
0507	San Clemente	C8A2441-8	Fl He Ni	{-2}	(B34+1)	[3278]	B	-	-	712	8	Im	G5 V
0508	Bonpland	E981211-3	Lo	{-3}	(A11-1)	[1184]	B	-	-	503	8	Im	G5 V
0512	Milford Haven	A000625-C	As Va Ni Na	{+1}	(C55+3)	[577D]	B	-	-	816	7	Im	M5 V
0513	Frimley	B6A2677-8	Fl He Ni Px	{-1}	(951+0)	[7546]	B	S	-	602	8	Im	G0 V
0525	Folkston	A200977-D	Va Hi Na In	{+4}	(G8A-4)	[ED6A]	fEB	-	-	506	7	Im	w D
0530	Nepomuceno	CCB6455-9	Fl Ni	{-1}	(A34+1)	[131A]	B	-	-	203	8	Im	G5 V
0532	Tamyeun	A5A5633-E	Fl Ni	{+1}	(F52+1)	[776E]	B	-	-	504	7	Im	M0 V
0535	Tuburan	C200599-8	Va Ni	{-2}	(C44-5)	[5355]	B	S	-	607	11	Im	M5 V M5 V
0540	Laziska Gorne	C200665-A	Va Ni Na	{+0}	(956+1)	[165D]	B	-	-	503	7	Im	M0 V
0608	Bentley	B691788-7	He Pi	{+0}	(865+0)	[6743]	DB	N	-	413	9	Im	F5 V
0609	Capistrano	E200212-6	Va Lo	{-3}	(311+0)	[117A]	B	-	-	808	8	Im	w D
0616	Santana da Vargem	E5A0120-6	He Lo	{-3}	(701-2)	[2177]	B	-	-	103	8	Im	G0 V
0621	Vishakhapatnam	C757745-4	Ga Ag	{+0}	(A6A-1)	[8751]	CB	S	-	203	8	Im	K5 V
0627	Iwate	D100358-A	Va Lo	{-1}	(D21-1)	[525B]	B	S	-	305	6	Im	M5 V
0628	Houston	B97585A-C	Ph Pa Pi	{+2}	(B7B+3)	[CA6D]	eDcB	-	-	114	10	Im	G5 V M5 V
0634	Jacinto City	B7A7635-8	Fl Ni	{-1}	(C54+5)	[6519]	B	-	-	513	8	Im	K5 V
0635	Weringia	C9A5557-7	Fl Ni Px	{-2}	(243+0)	[4357]	B	-	-	903	8	Im	G5 V
0636	Norwalk	B2009CC-D	Va Hi Na In	{+4}	(A8B+2)	[AD1D]	fEB	-	-	805	7	Im	M5 V
0637	Wachholz	E200699-8	Va Ni Na	{-3}	(D50+0)	[331C]	B	-	-	105	7	Im	M5 V
0638	Timbiqui	A6B3DCC-E	Fl Hi In	{+4}	(DC6+1)	[D09E]	fEB	N	-	302	6	Im	M5 V
0703	Fabregues	CBB0534-6	He Ni	{-2}	(644+0)	[8392]	B	S	-	703	4	Im	w D w D
0704	Vista	C200541-A	Va Ni	{+0}	(C46+4)	[7557]	B	-	-	614	6	Im	M5 V
0705	Roddenberry	A799626-E	Ni	{+1}	(856+1)	[6731]	B	N	-	804	8	Im	K0 V
0709	Schober	BBB365A-D	Fl Ni	{+1}	(954+1)	[776B]	B	-	-	901	8	Im	F5 V
0710	Temirtau	C5A1254-9	Fl He Lo	{-1}	(F11+1)	[216B]	B	S	-	706	9	Im	M5 V M5 V M5 V
0712	Guican	C200787-6	Va Na Pi	{-1}	(867-4)	[5657]	DB	-	-	214	7	Im	M0 V
0713	Staude	CAB5677-7	Fl Ni Px	{-2}	(A54-2)	[5466]	B	S	-	704	7	Im	M0 V
0717	Avon Lake	C666676-5	Ga Ni Ag Ri	{+0}	(855-2)	[5683]	CB	S	-	224	8	Im	G5 V
0722	Azatan	E882000-0	Ba	{-3}	(C00+3)	[0000]	B	-	-	003	8	Im	G0 V M5 V
0725	Puerto Guzman	D7A3311-8	Fl Lo	{-3}	(A21-2)	[4156]	B	S	-	803	9	Im	F5 V
0727	Bogo	C9C3530-6	Fl Ni	{-2}	(641+3)	[8326]	B	-	-	403	8	Im	G5 V
0729	Jurmala	B200830-A	Va Ph Na Pi	{+3}	(D7A-1)	[AB4A]	eDB	NS	-	507	8	Im	M0 V
0736	Hasilpur	B200762-8	Va Na Pi	{+0}	(063+1)	[7775]	DB	N	-	806	7	Im	M5 V
0738	Keldysh	A752621-9	Ni Po	{+0}	(C55+0)	[9645]	B	-	-	803	9	Im	G0 V
0801	Bryantsev	C20089A-A	Va Ph Na Pi	{+1}	(C78+1)	[7979]	eDB	S	-	404	7	Im	M0 V
0802	Kobzar	C200444-9	Va Ni	{-1}	(033-3)	[3319]	B	-	-	905	8	Im	M0 V
0805	Oberndorfer	C200532-6	Va Ni	{-2}	(940+3)	[3356]	B	-	-	704	7	Im	M5 V
0806	Bascom	B6A3878-9	Fl Ph	{+1}	(577-3)	[8944]	eB	-	-	210	13	Im	M0 III M5 III
0809	Gojra	E200100-A	Va Lo	{-1}	(F01-1)	[119A]	B	-	-	205	9	Im	M0 V M5 V
0811	Seltso	A200664-E	Va Ni Na	{+1}	(E53+0)	[579E]	B	N	-	714	6	Im	M5 V
0816	Karcag	A100699-E	Va Ni Na	{+1}	(953+1)	[5799]	B	-	-	904	6	Im	M5 V
0817	Crete	BDB269A-8	Fl Ni	{-1}	(D51-1)	[5527]	B	-	-	314	8	Im	K5 V
0826	Gaoniang	B10069B-B	Va Ni Na	{+2}	(E56-1)	[383C]	B	NS	-	604	6	Im	M5 V
0827	Svenders	C100102-A	Va Lo	{+0}	(E01+4)	[214A]	B	-	-	406	11	Im	M0 V M5 V
0834	Weinbaum	C9A5368-6	Fl Lo Px	{-2}	(421+4)	[1135]	B	S	-	703	8	Im	G0 V
0838	Bataguacu	A200852-D	Va Ph Na Pi	{+2}	(87D-4)	[7A89]	eDB	N	-	214	8	Im	M0 V
0839	Boyden	C6B0434-8	He Ni	{-2}	(834-2)	[4237]	B	-	-	103	9	Im	F5 V
0901	New Bremen	C7A4431-5	Fl Ni	{-2}	(630+3)	[7243]	B	-	-	813	9	Im	F0 V
0904	Live Oak	C893521-7	Ni	{-2}	(442-1)	[6357]	B	-	-	203	8	Im	G5 V
0905	Bahraigh	D200431-8	Va Ni	{-3}	(830-2)	[6148]	B	S	-	914	8	Im	M0 V
0911	Loison-sous-Lens	C100352-B	Va Lo	{+0}	(821-3)	[537C]	B	S	-	204	6	Im	M5 V
0918	Panchimalco	C695410-8	Ni Pa	{-2}	(A32-1)	[6248]	cB	S	-	502	9	Im	G0 V
0931	Fajardo	C200434-A	Va Ni	{+0}	(934+0)	[647E]	B	S	-	707	7	Im	w D
0933	Mette	B683877-9	Ph Ri	{+2}	(87B+0)	[5A77]	eCB	-	-	203	8	Im	G5 V
0935	Pudtol	B200653-D	Va Ni Na	{+1}	(952+0)	[8711]	B	-	-	904	6	Im	M5 V
0937	Bret Harte	B5749AB-7	Hi In	{+2}	(88B+0)	[5B25]	EB	-	-	604	8	Im	K0 V
0938	Nuevo Ideal	C000261-A	As Va Lo	{+0}	(A11+4)	[328D]	B	-	-	233	8	Im	K0 V
0939	Rees	C200532-A	Va Ni	{+0}	(D44+1)	[859D]	B	-	-	113	6	Im	M5 V
0940	Saletore	A6A8775-D	Fl	{+2}	(B6A+4)	[892D]	B	-	-	914	8	Im	K5 V
1001	La Verpilliere	A200843-D	Va Ph Na Pi	{+2}	(B7A-5)	[4A5D]	eDB	-	-	705	7	Im	M0 V
1007	Ozu	C200120-7	Va Lo	{-2}	(601-2)	[1156]	B	-	-	217	12	Im	M0 V M5 V
1014	Excubitor	C200565-9	Va Ni	{-1}	(G41-1)	[A416]	B	-	-	824	6	Im	M5 V
1018	Puerto San Carlos	C778446-5	Ni Pa	{-2}	(930+1)	[2213]	cB	-	-	103	8	Im	G0 V
1023	Heinlein	A6A28B7-A	Fl He Ph	{+2}	(979+0)	[6A7B]	eB	-	-	206	8	Im	w D
1027	Brownsville	B2007BC-A	Va Na Pi	{+2}	(D67-2)	[691A]	DB	-	-	204	6	Im	M5 V
1028	Brejao	C200543-B	Va Ni	{+0}	(A46+2)	[55A9]	B	-	-	424	9	Im	G0 V
1035	Passira	D796447-7	Ni Pa	{-3}	(730+1)	[3146]	cB	-	-	514	8	Im	K5 V
1037	Baran 	D200578-5	Va Ni	{-3}	(740-3)	[1232]	B	-	-	702	4	Im	M0 V M5 V
1039	Oye	A20068A-B	Va Ni Na	{+1}	(F56-3)	[6789]	B	-	-	508	8	Im	w D
1103	Immendingen	C200300-8	Va Lo	{-2}	(A21-1)	[1178]	B	-	-	605	7	Im	M5 V
1107	Le Mouelic	A671664-9	He Ni	{+0}	(D56+4)	[A629]	B	-	-	104	9	Im	K0 V M5 V
1109	Deryneia	C20055A-9	Va Ni	{-1}	(940+0)	[3417]	B	S	-	815	7	Im	w D
1112	Blaufelden	D200220-9	Va Lo	{-2}	(D11-1)	[216D]	B	S	-	103	6	Im	M5 V
1114	Irtish	A2009BC-E	Va Hi Na In	{+4}	(A8A-2)	[9D11]	fEB	N	-	513	9	Im	G0 V
1116	Saue	D200302-8	Va Lo	{-3}	(821-1)	[415B]	B	S	-	806	7	Im	M5 V
1118	Morris Plains	D870311-7	De He Lo	{-3}	(721-2)	[1168]	B	-	-	602	9	Im	F0 V
1120	Fetesti	A8A39AD-B	Fl Hi In	{+4}	(C8E+2)	[AD3G]	fEB	S	-	724	8	Im	G5 V
1122	Wacron	A000989-E	As Va Hi Na In	{+4}	(A8C+2)	[BD3E]	fEB	S	-	812	10	Im	A0 V
1128	Cruithne	C6B3356-8	Fl Lo Px	{-2}	(921-1)	[5114]	B	-	-	104	11	Im	K5 V K5 V
1130	Pepaprats	EAB1203-6	Fl He Lo	{-3}	(611-2)	[1138]	B	-	-	513	7	Im	M0 V
1131	Caccin	D6A0243-7	He Lo	{-3}	(A11+3)	[3129]	B	-	-	203	9	Im	F5 V
1134	Sorsk	D200212-8	Va Lo	{-3}	(A11+1)	[217B]	B	S	-	904	7	Im	M0 V
1136	Anenecuilco	A7A58A8-E	Fl Ph	{+2}	(979-1)	[CA8D]	eB	N	-	903	8	Im	K0 V
1140	Mount Horeb	C200300-C	Va Lo	{+0}	(D21+2)	[232B]	B	S	-	324	9	Im	F0 V
1202	Ecuador	A2009AB-D	Va Hi Na In	{+4}	(B8F-2)	[6D58]	fEB	N	-	405	7	Im	M5 V
1203	Tepic	C200467-A	Va Ni	{+0}	(C35-2)	[443D]	B	S	-	403	9	Im	F0 V
1204	Calvino	A2007B8-B	Va Na Pi	{+2}	(A6A+0)	[794C]	DB	S	-	503	6	Im	M5 V
1206	Bexa	B00086A-D	As Va Ph Na Pi	{+2}	(G7B+0)	[AA1A]	eDB	-	-	417	9	Im	w D w D
1207	Kuzumaki	C7A7556-7	Fl Ni	{-2}	(841+3)	[4367]	B	S	-	305	7	Im	M0 V
1208	Golovanov	B9A5662-A	Fl Ni	{+1}	(B55+1)	[8736]	B	-	-	602	8	Im	G5 V
1224	Itoigawa	A200630-C	Va Ni Na	{+1}	(F52+0)	[575A]	B	N	-	607	8	Im	w D
1229	Rocafuerte	C200444-7	Va Ni	{-2}	(832+4)	[2273]	B	S	-	604	6	Im	M5 V
1230	Lebanon	D100110-A	Va Lo	{-1}	(B01+4)	[315A]	B	S	-	804	6	Im	M5 V
1233	Moratuwa	C200569-6	Va Ni	{-2}	(541+2)	[6359]	B	-	-	406	12	Im	M0 V M5 V
1235	Montezuma	C000520-A	As Va Ni	{+0}	(943-4)	[4546]	B	-	-	113	10	Im	A0 V
1238	Jens	A1006A8-F	Va Ni Na	{+1}	(D54+2)	[975D]	B	N	-	906	7	Im	w D
1239	Chauray	B1008BF-9	Va Ph Na Pi	{+1}	(873+1)	[5937]	eDB	S	A	705	6	Im	M5 V
1304	Hohenwestedt	C100410-8	Va Ni	{-2}	(133+1)	[8269]	B	-	-	5010	12	Im	w D w D
1306	Zaggota	CAB157B-6	Fl He Ni	{-2}	(340+2)	[4358]	B	-	-	705	8	Im	K0 V
1308	Tumauini	E200103-6	Va Lo	{-3}	(501-1)	[4139]	B	-	-	404	10	Im	K5 V M5 V
1311	San Ramon	C6A7530-9	Fl Ni	{-1}	(A45-1)	[3476]	B	S	-	814	8	Im	K5 V
1312	Tamsin	C200416-9	Va Ni	{-1}	(F31+2)	[7395]	B	-	-	406	10	Im	M0 V M5 V
1314	San Pedro Mixtepec	C200562-8	Va Ni	{-2}	(840+2)	[1323]	B	S	-	104	8	Im	K0 V
1316	Valenzano	D200545-4	Va Ni	{-3}	(440+2)	[6295]	B	-	-	905	7	Im	M5 V
1319	Talsint	B200640-D	Va Ni Na	{+1}	(C57+4)	[874A]	B	S	-	414	6	Im	M5 V
1321	Lida	A200854-D	Va Ph Na Pi	{+2}	(D78+3)	[8A5C]	eDB	-	-	814	8	Im	M0 V
1324	Swictar	A200899-B	Va Ph Na Pi	{+2}	(C7D-1)	[AA4F]	eDB	-	-	114	7	Im	M5 V
1325	Eberswalde	A200621-D	Va Ni Na	{+1}	(E53+1)	[676F]	B	-	-	204	11	Im	G5 V M5 V
1327	Port Jefferson	E8A0300-6	He Lo	{-3}	(721+3)	[4174]	B	-	-	603	10	Im	A0 V
1328	Mulheim-Karlich	B200757-D	Va Na Pi	{+2}	(E69-2)	[596F]	DB	-	-	607	9	Im	M5 V w D
1330	Jessberger	A000867-B	As Va Ph Na Pi	{+2}	(F75-1)	[5A67]	eDB	N	-	625	7	Im	w D
1331	Botupora	C400556-7	Va Ni	{-2}	(743+2)	[6353]	B	S	-	103	6	Im	M5 V
1337	Matosinhos	D6A6452-6	Fl Ni	{-3}	(930-1)	[71A9]	B	S	-	514	9	Im	G0 V
1339	Olekminsk	E8A3200-6	Fl Lo	{-3}	(511-2)	[4164]	B	-	-	314	8	Im	M0 V
1340	Novi Sanzhary	C100567-7	Va Ni	{-2}	(740+2)	[5359]	B	S	-	106	7	Im	M5 V
1401	Issoudun	DEB9556-8	Fl Ni	{-3}	(E43-3)	[5245]	B	S	-	904	8	Im	K0 V
1402	Juyi	C200444-B	Va Ni	{+0}	(935-2)	[648B]	B	-	-	102	6	Im	M5 V
1404	Montalbano Ionico	C200588-9	Va Ni	{-1}	(B44+3)	[3478]	B	-	-	205	7	Im	M5 V
1409	Michelstadt	C20077A-A	Va Na Pi	{+1}	(A64-1)	[984A]	DB	S	-	925	7	Im	M0 V
1414	Pontremoli	B200614-9	Va Ni Na	{+0}	(953-4)	[6646]	B	-	-	204	6	Im	M5 V
1422	Yamakita	C884550-8	Ni Ag Pr	{-1}	(840+3)	[A428]	CcB	-	-	613	9	Im	F0 V
1427	Hamilton Township	C300412-6	Va Ni	{-2}	(634+0)	[7236]	B	S	-	314	8	Im	K5 V
1430	Scheffler	E6A7166-6	Fl Lo	{-3}	(401+2)	[1153]	B	-	-	503	8	Im	K5 V
1432	Santoka	C200500-B	Va Ni	{+0}	(A43+2)	[659B]	B	-	-	104	7	Im	M0 V
1434	Gyangze	A8B07BA-E	He	{+2}	(B6B+2)	[697C]	B	N	-	602	9	Im	F0 V
1438	Fan	C200573-9	Va Ni	{-1}	(B42-3)	[2445]	B	-	-	515	8	Im	M0 V
1440	Sapeacu	E200104-A	Va Lo	{-1}	(B01+1)	[2169]	B	-	-	509	11	Im	M5 V M5 V
1506	Oud-Zuilen	C200677-8	Va Ni Na	{-2}	(952+4)	[545B]	B	S	-	606	7	Im	w D
1508	Midway	B9A767B-8	Fl Ni	{-1}	(950+0)	[6575]	B	-	-	622	8	Im	K5 V
1509	Oongaq	C961468-9	Ni	{-1}	(832+0)	[4349]	B	-	-	111	8	Im	G0 V
1513	Kitee	C100730-9	Va Na Pi	{+0}	(E67+3)	[A78D]	DB	-	-	407	8	Im	w D
1515	Cinar	C200232-A	Va Lo	{+0}	(711+1)	[521B]	B	-	-	204	7	Im	M0 V
1518	Monroe	A750766-B	De Po	{+2}	(C69-2)	[7959]	B	-	-	203	8	Im	G5 V
1520	Cedar Hill	C200244-A	Va Lo	{+0}	(A11-4)	[3258]	B	S	-	615	8	Im	M0 V
1521	Sanvito	D7A1402-6	Fl He Ni	{-3}	(430+1)	[11A5]	B	S	-	304	8	Im	K0 V
1522	Pune	C200553-8	Va Ni	{-2}	(B44+4)	[5396]	B	-	-	305	8	Im	M0 V
1523	Sumeg	E200233-8	Va Lo	{-3}	(811+0)	[4148]	B	-	-	314	9	Im	F0 V
1525	Vesmir	C200454-B	Va Ni	{+0}	(D33+2)	[1429]	B	-	-	404	8	Im	M0 V
1526	Indiga	C200332-6	Va Lo	{-2}	(421+0)	[1159]	B	-	-	415	7	Im	M0 V
1532	Kanada	B200843-B	Va Ph Na Pi	{+2}	(D7C-2)	[8A4B]	eDB	N	-	405	6	Im	M5 V
1534	Kaya	E9A5147-7	Fl Lo	{-3}	(A01+0)	[5154]	B	-	-	334	8	Im	K0 V M5 V
1535	Lusanga	E9A3373-8	Fl Lo	{-3}	(821+2)	[4188]	B	-	-	802	8	Im	K0 V
1536	Ndolaprata	D200443-6	Va Ni	{-3}	(532+0)	[711A]	B	S	-	305	7	Im	M5 V
1538	Hirayama	B7B1648-7	Fl He Ni Px	{-1}	(751+4)	[6555]	B	N	-	102	10	Im	A0 V
1602	Astley	C000486-8	As Va Ni	{-2}	(B31+2)	[1218]	B	S	-	924	8	Im	K0 V
1609	Psychiko	A864669-9	Ni Ag Ri	{+3}	(E57+0)	[A93D]	CB	NS	-	912	9	Im	F0 V
1612	Osterwieck	C200554-C	Va Ni	{+0}	(D43+3)	[351D]	B	-	-	616	8	Im	K0 V
1613	Kraslice	E5B8343-7	Fl Lo	{-3}	(B21+2)	[316A]	B	-	-	304	8	Im	M0 V
1614	Gregor	A2009BC-D	Va Hi Na In	{+4}	(F8C-3)	[7DA0]	fEB	N	-	907	8	Im	w D
1618	Llanelli	C7557AB-4	Ga Ag	{+0}	(764+3)	[6755]	CB	-	-	913	9	Im	G0 V
1620	Cowell	C100665-8	Va Ni Na	{-2}	(E52-2)	[1447]	B	-	-	604	6	Im	M5 V
1623	Pinheiro	A6A1867-B	Fl He Ph	{+3}	(E77+4)	[CB5D]	eB	NS	-	608	11	Im	K5 V w D
1629	Hunxe	B200883-B	Va Ph Na Pi	{+2}	(A7A-2)	[8A5B]	eDB	-	-	905	7	Im	M0 V
1640	Kochi	CAB4410-6	Fl Ni	{-2}	(731-3)	[7288]	B	-	-	903	8	Im	G5 V
1709	Caracarai	D6A6100-7	Fl Lo	{-3}	(801+0)	[2139]	B	S	-	314	8	Im	K5 V
1715	Punta Gorda	E200100-5	Va Lo	{-3}	(901+0)	[2164]	B	-	-	304	7	Im	M0 V
1719	Osterbrock	E200133-4	Va Lo	{-3}	(901+0)	[1166]	B	-	-	315	9	Im	M5 V M5 V
1720	Franklin Park	C664202-9	Lo	{-1}	(C11+3)	[1168]	B	-	-	603	8	Im	K0 V
1721	Amsterdam	B200886-9	Va Ph Na Pi	{+1}	(175-1)	[5949]	eDB	S	-	806	7	Im	w D
1725	Abercarn	A5A39BB-B	Fl Hi In	{+4}	(B8D+2)	[8D9C]	fEB	S	-	704	6	Im	M5 V
1728	Mount Vernon	B200894-C	Va Ph Na Pi	{+2}	(B7D-1)	[7A1B]	eDB	-	-	204	7	Im	M0 V
1730	Boucherville	C200200-C	Va Lo	{+0}	(D11-1)	[6239]	B	S	-	804	7	Im	M0 V
1732	Wooden	XAB9400-1	Fl Ni	{-3}	(731+5)	[3191]	B	-	R	104	8	Im	K5 V
1733	Trstena	C20058B-9	Va Ni	{-1}	(842+2)	[245C]	B	-	-	504	6	Im	M5 V
1801	Brooklyn Park	C400200-B	Va Lo	{+0}	(711+0)	[128B]	B	S	-	222	10	Im	A0 V
1803	Talmaza	C9A2324-9	Fl He Lo	{-1}	(921+4)	[5236]	B	-	-	103	11	Im	K5 V K5 V
1804	Grossbottwar	D200446-4	Va Ni	{-3}	(432-2)	[6164]	B	-	-	906	10	Im	M5 V M5 V
1807	General Pico	C773744-7	Pi	{-1}	(864-2)	[C658]	DB	-	-	302	8	Im	K5 V
1809	Opicampa	C200400-9	Va Ni	{-1}	(A31+2)	[631C]	B	-	-	606	7	Im	M5 V
1817	Ondo	B2007AD-A	Va Na Pi	{+2}	(D6D-4)	[996F]	DB	-	-	506	7	Im	M0 V
1825	Franceville	A667842-B	Ga Ph Pa Ri	{+3}	(976+4)	[6B3B]	eCcB	-	-	903	8	Im	K0 V
1830	Ganzhou	E200346-5	Va Lo	{-3}	(B21+0)	[4143]	B	-	-	208	8	Im	w D
1833	Degewij	C6A1332-7	Fl He Lo	{-2}	(721-4)	[5187]	B	-	-	104	8	Im	K0 V
1835	Olpe	B9B998B-B	Fl Hi In	{+4}	(889+0)	[8D8B]	fEB	N	-	403	7	Im	M0 V
1836	Ohdohriko	B200786-9	Va Na Pi	{+1}	(16A+2)	[B876]	DB	S	-	716	11	Im	M0 V M5 V
1840	Tecuala	C200549-9	Va Ni	{-1}	(D45-2)	[548A]	B	S	-	403	6	Im	M5 V
1904	Fletcher	D7A2110-4	Fl He Lo	{-3}	(501+0)	[1153]	B	S	-	612	8	Im	G5 V
1905	Porter	C200240-9	Va Lo	{-1}	(A11+1)	[5175]	B	-	-	104	6	Im	M5 V
1908	Copperas Cove	C966567-7	Ni Ag Pr	{-1}	(A41+0)	[2437]	CcB	S	-	703	8	Im	G5 V
1910	Trois-Rivieres	B200864-A	Va Ph Na Pi	{+2}	(A7B+4)	[CA5F]	eDB	-	-	503	6	Im	M5 V
